seed_param,seed_sim,Drug,Condition,n,events,median,lwr,upr
1,1,Pro,Raw data,51,48,55,50,65
1,1,Pro,Condition 1,100,100,57.5,55,60
1,1,Pro,Condition 2,100,100,55,55,60
1,1,Pro,Condition 3,100,100,55,55,60
1,1,Pro,Condition 4,100,100,55,55,60
1,1,Lid,Raw data,51,47,60,55,70
1,1,Lid,Condition 1,100,100,65,65,70
1,1,Lid,Condition 2,100,100,65,65,70
1,1,Lid,Condition 3,100,100,70,65,70
1,1,Lid,Condition 4,100,100,65,65,70
1,1,Mep,Raw data,51,45,85,75,90
1,1,Mep,Condition 1,100,100,80,80,80
1,1,Mep,Condition 2,100,100,80,75,85
1,1,Mep,Condition 3,100,100,80,80,85
1,1,Mep,Condition 4,100,100,80,75,85
1,1,Bup,Raw data,51,25,NA,90,NA
1,1,Bup,Condition 1,100,100,105,100,105
1,1,Bup,Condition 2,100,100,100,100,105
1,1,Bup,Condition 3,100,100,100,100,110
1,1,Bup,Condition 4,100,100,102.5,100,105
1,1,Lid+Adr,Raw data,51,8,NA,NA,NA
1,1,Lid+Adr,Condition 1,100,35,NA,NA,NA
1,1,Lid+Adr,Condition 2,100,38,NA,NA,NA
1,1,Lid+Adr,Condition 3,100,38,NA,NA,NA
1,1,Lid+Adr,Condition 4,100,42,NA,180,NA
1,2,Pro,Raw data,51,48,55,50,65
1,2,Pro,Condition 1,100,100,60,55,60
1,2,Pro,Condition 2,100,100,55,55,60
1,2,Pro,Condition 3,100,100,55,55,60
1,2,Pro,Condition 4,100,100,60,55,60
1,2,Lid,Raw data,51,47,60,55,70
1,2,Lid,Condition 1,100,100,67.5,65,70
1,2,Lid,Condition 2,100,100,65,60,70
1,2,Lid,Condition 3,100,100,67.5,65,70
1,2,Lid,Condition 4,100,100,65,65,70
1,2,Mep,Raw data,51,45,85,75,90
1,2,Mep,Condition 1,100,100,80,80,80
1,2,Mep,Condition 2,100,100,80,75,80
1,2,Mep,Condition 3,100,100,80,75,80
1,2,Mep,Condition 4,100,100,80,75,80
1,2,Bup,Raw data,51,25,NA,90,NA
1,2,Bup,Condition 1,100,100,105,100,105
1,2,Bup,Condition 2,100,100,105,100,110
1,2,Bup,Condition 3,100,100,100,100,105
1,2,Bup,Condition 4,100,100,105,95,105
1,2,Lid+Adr,Raw data,51,8,NA,NA,NA
1,2,Lid+Adr,Condition 1,100,36,NA,NA,NA
1,2,Lid+Adr,Condition 2,100,41,NA,NA,NA
1,2,Lid+Adr,Condition 3,100,40,NA,NA,NA
1,2,Lid+Adr,Condition 4,100,41,NA,NA,NA
1,3,Pro,Raw data,51,48,55,50,65
1,3,Pro,Condition 1,100,100,55,55,60
1,3,Pro,Condition 2,100,100,55,55,60
1,3,Pro,Condition 3,100,100,60,55,60
1,3,Pro,Condition 4,100,100,55,55,60
1,3,Lid,Raw data,51,47,60,55,70
1,3,Lid,Condition 1,100,100,65,65,70
1,3,Lid,Condition 2,100,100,65,65,70
1,3,Lid,Condition 3,100,100,65,65,70
1,3,Lid,Condition 4,100,100,65,65,70
1,3,Mep,Raw data,51,45,85,75,90
1,3,Mep,Condition 1,100,100,80,75,80
1,3,Mep,Condition 2,100,100,80,80,85
1,3,Mep,Condition 3,100,100,80,75,80
1,3,Mep,Condition 4,100,100,80,75,85
1,3,Bup,Raw data,51,25,NA,90,NA
1,3,Bup,Condition 1,100,100,105,100,105
1,3,Bup,Condition 2,100,100,105,100,105
1,3,Bup,Condition 3,100,100,100,100,105
1,3,Bup,Condition 4,100,100,100,100,110
1,3,Lid+Adr,Raw data,51,8,NA,NA,NA
1,3,Lid+Adr,Condition 1,100,35,NA,NA,NA
1,3,Lid+Adr,Condition 2,100,42,NA,180,NA
1,3,Lid+Adr,Condition 3,100,38,NA,NA,NA
1,3,Lid+Adr,Condition 4,100,42,NA,180,NA
1,4,Pro,Raw data,51,48,55,50,65
1,4,Pro,Condition 1,100,100,60,55,65
1,4,Pro,Condition 2,100,100,57.5,55,60
1,4,Pro,Condition 3,100,100,55,55,60
1,4,Pro,Condition 4,100,100,60,55,60
1,4,Lid,Raw data,51,47,60,55,70
1,4,Lid,Condition 1,100,100,65,65,70
1,4,Lid,Condition 2,100,100,65,65,70
1,4,Lid,Condition 3,100,100,65,65,70
1,4,Lid,Condition 4,100,100,67.5,65,70
1,4,Mep,Raw data,51,45,85,75,90
1,4,Mep,Condition 1,100,100,80,75,80
1,4,Mep,Condition 2,100,100,80,75,80
1,4,Mep,Condition 3,100,100,80,75,85
1,4,Mep,Condition 4,100,100,80,80,85
1,4,Bup,Raw data,51,25,NA,90,NA
1,4,Bup,Condition 1,100,100,100,100,105
1,4,Bup,Condition 2,100,100,100,100,105
1,4,Bup,Condition 3,100,100,105,100,110
1,4,Bup,Condition 4,100,100,105,100,105
1,4,Lid+Adr,Raw data,51,8,NA,NA,NA
1,4,Lid+Adr,Condition 1,100,39,NA,NA,NA
1,4,Lid+Adr,Condition 2,100,40,NA,NA,NA
1,4,Lid+Adr,Condition 3,100,33,NA,NA,NA
1,4,Lid+Adr,Condition 4,100,41,NA,NA,NA
2,1,Pro,Raw data,51,48,55,50,65
2,1,Pro,Condition 1,100,100,60,55,60
2,1,Pro,Condition 2,100,100,60,55,60
2,1,Pro,Condition 3,100,100,55,55,60
2,1,Pro,Condition 4,100,100,55,50,60
2,1,Lid,Raw data,51,47,60,55,70
2,1,Lid,Condition 1,100,100,70,65,70
2,1,Lid,Condition 2,100,100,70,65,75
2,1,Lid,Condition 3,100,100,70,65,75
2,1,Lid,Condition 4,100,100,70,65,75
2,1,Mep,Raw data,51,45,85,75,90
2,1,Mep,Condition 1,100,100,80,75,80
2,1,Mep,Condition 2,100,100,80,75,80
2,1,Mep,Condition 3,100,100,80,75,85
2,1,Mep,Condition 4,100,100,80,75,85
2,1,Bup,Raw data,51,25,NA,90,NA
2,1,Bup,Condition 1,100,100,100,100,105
2,1,Bup,Condition 2,100,100,100,95,105
2,1,Bup,Condition 3,100,100,100,95,105
2,1,Bup,Condition 4,100,100,100,95,105
2,1,Lid+Adr,Raw data,51,8,NA,NA,NA
2,1,Lid+Adr,Condition 1,100,26,NA,NA,NA
2,1,Lid+Adr,Condition 2,100,27,NA,NA,NA
2,1,Lid+Adr,Condition 3,100,29,NA,NA,NA
2,1,Lid+Adr,Condition 4,100,35,NA,NA,NA
2,2,Pro,Raw data,51,48,55,50,65
2,2,Pro,Condition 1,100,100,60,55,60
2,2,Pro,Condition 2,100,100,60,55,65
2,2,Pro,Condition 3,100,100,60,55,60
2,2,Pro,Condition 4,100,100,60,55,60
2,2,Lid,Raw data,51,47,60,55,70
2,2,Lid,Condition 1,100,100,70,65,70
2,2,Lid,Condition 2,100,100,70,70,75
2,2,Lid,Condition 3,100,100,70,65,70
2,2,Lid,Condition 4,100,100,70,65,75
2,2,Mep,Raw data,51,45,85,75,90
2,2,Mep,Condition 1,100,100,80,75,80
2,2,Mep,Condition 2,100,100,80,75,80
2,2,Mep,Condition 3,100,100,80,75,85
2,2,Mep,Condition 4,100,100,80,75,80
2,2,Bup,Raw data,51,25,NA,90,NA
2,2,Bup,Condition 1,100,100,100,100,105
2,2,Bup,Condition 2,100,100,100,95,105
2,2,Bup,Condition 3,100,100,100,95,110
2,2,Bup,Condition 4,100,100,100,95,110
2,2,Lid+Adr,Raw data,51,8,NA,NA,NA
2,2,Lid+Adr,Condition 1,100,31,NA,NA,NA
2,2,Lid+Adr,Condition 2,100,28,NA,NA,NA
2,2,Lid+Adr,Condition 3,100,34,NA,NA,NA
2,2,Lid+Adr,Condition 4,100,34,NA,NA,NA
2,3,Pro,Raw data,51,48,55,50,65
2,3,Pro,Condition 1,100,100,55,55,60
2,3,Pro,Condition 2,100,100,55,55,60
2,3,Pro,Condition 3,100,100,55,55,60
2,3,Pro,Condition 4,100,100,55,50,60
2,3,Lid,Raw data,51,47,60,55,70
2,3,Lid,Condition 1,100,100,70,65,75
2,3,Lid,Condition 2,100,100,70,65,75
2,3,Lid,Condition 3,100,100,70,65,70
2,3,Lid,Condition 4,100,100,70,65,75
2,3,Mep,Raw data,51,45,85,75,90
2,3,Mep,Condition 1,100,100,80,75,80
2,3,Mep,Condition 2,100,100,80,75,80
2,3,Mep,Condition 3,100,100,77.5,75,80
2,3,Mep,Condition 4,100,100,80,75,80
2,3,Bup,Raw data,51,25,NA,90,NA
2,3,Bup,Condition 1,100,100,100,100,105
2,3,Bup,Condition 2,100,100,100,95,105
2,3,Bup,Condition 3,100,100,100,95,105
2,3,Bup,Condition 4,100,100,100,100,105
2,3,Lid+Adr,Raw data,51,8,NA,NA,NA
2,3,Lid+Adr,Condition 1,100,27,NA,NA,NA
2,3,Lid+Adr,Condition 2,100,29,NA,NA,NA
2,3,Lid+Adr,Condition 3,100,25,NA,NA,NA
2,3,Lid+Adr,Condition 4,100,33,NA,NA,NA
2,4,Pro,Raw data,51,48,55,50,65
2,4,Pro,Condition 1,100,100,55,55,60
2,4,Pro,Condition 2,100,100,55,55,60
2,4,Pro,Condition 3,100,100,55,55,60
2,4,Pro,Condition 4,100,100,55,55,60
2,4,Lid,Raw data,51,47,60,55,70
2,4,Lid,Condition 1,100,100,70,65,75
2,4,Lid,Condition 2,100,100,70,65,70
2,4,Lid,Condition 3,100,100,70,65,70
2,4,Lid,Condition 4,100,100,70,65,70
2,4,Mep,Raw data,51,45,85,75,90
2,4,Mep,Condition 1,100,100,77.5,75,80
2,4,Mep,Condition 2,100,100,80,75,80
2,4,Mep,Condition 3,100,100,75,75,80
2,4,Mep,Condition 4,100,100,80,75,80
2,4,Bup,Raw data,51,25,NA,90,NA
2,4,Bup,Condition 1,100,100,100,100,105
2,4,Bup,Condition 2,100,100,100,95,105
2,4,Bup,Condition 3,100,100,100,95,105
2,4,Bup,Condition 4,100,100,100,95,105
2,4,Lid+Adr,Raw data,51,8,NA,NA,NA
2,4,Lid+Adr,Condition 1,100,28,NA,NA,NA
2,4,Lid+Adr,Condition 2,100,29,NA,NA,NA
2,4,Lid+Adr,Condition 3,100,35,NA,NA,NA
2,4,Lid+Adr,Condition 4,100,33,NA,NA,NA
3,1,Pro,Raw data,51,48,55,50,65
3,1,Pro,Condition 1,100,100,60,55,60
3,1,Pro,Condition 2,100,100,60,55,65
3,1,Pro,Condition 3,100,100,60,55,60
3,1,Pro,Condition 4,100,100,57.5,55,60
3,1,Lid,Raw data,51,47,60,55,70
3,1,Lid,Condition 1,100,100,67.5,65,70
3,1,Lid,Condition 2,100,100,70,65,70
3,1,Lid,Condition 3,100,100,70,65,70
3,1,Lid,Condition 4,100,100,70,65,70
3,1,Mep,Raw data,51,45,85,75,90
3,1,Mep,Condition 1,100,100,80,75,80
3,1,Mep,Condition 2,100,100,80,75,80
3,1,Mep,Condition 3,100,100,80,75,80
3,1,Mep,Condition 4,100,100,80,75,85
3,1,Bup,Raw data,51,25,NA,90,NA
3,1,Bup,Condition 1,100,100,105,100,105
3,1,Bup,Condition 2,100,100,100,95,105
3,1,Bup,Condition 3,100,100,100,95,105
3,1,Bup,Condition 4,100,100,102.5,100,105
3,1,Lid+Adr,Raw data,51,8,NA,NA,NA
3,1,Lid+Adr,Condition 1,100,33,NA,NA,NA
3,1,Lid+Adr,Condition 2,100,43,NA,180,NA
3,1,Lid+Adr,Condition 3,100,38,NA,NA,NA
3,1,Lid+Adr,Condition 4,100,44,NA,180,NA
3,2,Pro,Raw data,51,48,55,50,65
3,2,Pro,Condition 1,100,100,60,55,60
3,2,Pro,Condition 2,100,100,60,55,65
3,2,Pro,Condition 3,100,100,60,55,60
3,2,Pro,Condition 4,100,100,60,55,60
3,2,Lid,Raw data,51,47,60,55,70
3,2,Lid,Condition 1,100,100,70,65,70
3,2,Lid,Condition 2,100,100,65,65,70
3,2,Lid,Condition 3,100,100,65,65,70
3,2,Lid,Condition 4,100,100,65,65,70
3,2,Mep,Raw data,51,45,85,75,90
3,2,Mep,Condition 1,100,100,80,75,80
3,2,Mep,Condition 2,100,100,80,75,80
3,2,Mep,Condition 3,100,100,75,75,80
3,2,Mep,Condition 4,100,100,77.5,75,80
3,2,Bup,Raw data,51,25,NA,90,NA
3,2,Bup,Condition 1,100,100,105,100,105
3,2,Bup,Condition 2,100,100,100,95,105
3,2,Bup,Condition 3,100,100,100,95,105
3,2,Bup,Condition 4,100,100,100,95,105
3,2,Lid+Adr,Raw data,51,8,NA,NA,NA
3,2,Lid+Adr,Condition 1,100,36,NA,NA,NA
3,2,Lid+Adr,Condition 2,100,42,NA,180,NA
3,2,Lid+Adr,Condition 3,100,35,NA,NA,NA
3,2,Lid+Adr,Condition 4,100,41,NA,NA,NA
3,3,Pro,Raw data,51,48,55,50,65
3,3,Pro,Condition 1,100,100,60,55,60
3,3,Pro,Condition 2,100,100,60,55,65
3,3,Pro,Condition 3,100,100,60,55,60
3,3,Pro,Condition 4,100,100,60,55,60
3,3,Lid,Raw data,51,47,60,55,70
3,3,Lid,Condition 1,100,100,65,65,70
3,3,Lid,Condition 2,100,100,65,65,70
3,3,Lid,Condition 3,100,100,65,65,70
3,3,Lid,Condition 4,100,100,65,65,70
3,3,Mep,Raw data,51,45,85,75,90
3,3,Mep,Condition 1,100,100,80,75,80
3,3,Mep,Condition 2,100,100,77.5,75,80
3,3,Mep,Condition 3,100,100,80,75,80
3,3,Mep,Condition 4,100,100,80,75,80
3,3,Bup,Raw data,51,25,NA,90,NA
3,3,Bup,Condition 1,100,99,100,100,110
3,3,Bup,Condition 2,100,99,100,100,105
3,3,Bup,Condition 3,100,100,100,100,105
3,3,Bup,Condition 4,100,100,100,95,105
3,3,Lid+Adr,Raw data,51,8,NA,NA,NA
3,3,Lid+Adr,Condition 1,100,36,NA,NA,NA
3,3,Lid+Adr,Condition 2,100,38,NA,NA,NA
3,3,Lid+Adr,Condition 3,100,40,NA,NA,NA
3,3,Lid+Adr,Condition 4,100,38,NA,NA,NA
3,4,Pro,Raw data,51,48,55,50,65
3,4,Pro,Condition 1,100,100,60,55,65
3,4,Pro,Condition 2,100,100,60,55,65
3,4,Pro,Condition 3,100,100,60,55,60
3,4,Pro,Condition 4,100,100,60,55,65
3,4,Lid,Raw data,51,47,60,55,70
3,4,Lid,Condition 1,100,100,65,65,70
3,4,Lid,Condition 2,100,100,65,65,70
3,4,Lid,Condition 3,100,100,65,65,70
3,4,Lid,Condition 4,100,100,65,65,70
3,4,Mep,Raw data,51,45,85,75,90
3,4,Mep,Condition 1,100,100,77.5,75,80
3,4,Mep,Condition 2,100,100,77.5,75,80
3,4,Mep,Condition 3,100,100,80,75,80
3,4,Mep,Condition 4,100,100,80,75,80
3,4,Bup,Raw data,51,25,NA,90,NA
3,4,Bup,Condition 1,100,100,100,100,110
3,4,Bup,Condition 2,100,100,105,100,110
3,4,Bup,Condition 3,100,100,100,100,105
3,4,Bup,Condition 4,100,100,100,95,105
3,4,Lid+Adr,Raw data,51,8,NA,NA,NA
3,4,Lid+Adr,Condition 1,100,40,NA,NA,NA
3,4,Lid+Adr,Condition 2,100,35,NA,NA,NA
3,4,Lid+Adr,Condition 3,100,37,NA,NA,NA
